id,airport_from,airport_to,distance_km,flight_time_hr
141,SEQ,PKN,548,0.66
142,SEQ,SIW,2480,3.09
143,SEQ,KJT,2525,3.28
144,SEQ,SIQ,727,0.86
145,SEQ,MJU,660,0.86
146,SEQ,MOA,3532,4.42
147,SEQ,NBX,1140,1.44
148,SEQ,UPG,3422,4.05
149,SEQ,PSU,2192,2.84
150,SEQ,LUV,1015,1.2
151,GNS,ZEG,265,0.31
152,GNS,UOL,1667,2.03
153,GNS,LWE,3587,4.78
154,GNS,UPG,1110,1.32
155,GNS,CJN,2137,2.53
156,GNS,TMB,1668,2.21
157,GNS,NTX,1005,1.34
158,GNS,TJC,212,0.28
159,GNS,SOC,2787,3.54
160,GNS,MTW,349,0.45
161,GNS,UBR,563,0.73
162,GNS,MXB,2408,2.9
163,GNS,MNA,1904,2.42
164,GNS,NTI,1499,1.81
165,GNS,TTE,698,0.87
166,GNS,BUW,621,0.83
167,GNS,OKL,2164,2.61
168,GNS,NNX,2774,3.53
169,GNS,DTB,2665,3.18
170,GNS,RJM,2606,3.17
171,GNS,SAU,341,0.45
172,GNS,IUL,2824,3.63
173,GNS,BTO,3471,4.37
174,GNS,GTO,707,0.93
175,GNS,KOE,2752,3.52
176,GNS,AAS,1643,2.08
177,GNS,LOP,1106,1.36
178,GNS,WHI,3599,4.43
179,GNS,BMU,2056,2.47
180,GNS,RTU,603,0.73
181,GNS,KEQ,1927,2.47
182,GNS,RSK,2457,2.93
183,GNS,ZRM,3583,4.25
184,GNS,TXE,3009,3.87
185,GNS,LUV,275,0.33
186,GNS,BJK,2625,3.35
187,GNS,JOG,3617,4.47
188,GNS,LKA,2891,3.8
189,GNS,PXA,3197,3.85
190,GNS,ILG,2140,2.7
191,GNS,RGT,3211,4.11
192,GNS,KDI,2824,3.75
193,GNS,TJG,1876,2.33
194,GNS,MES,2733,3.38
195,GNS,KSX,1608,2.08
196,GNS,LII,520,0.69
197,GNS,TPK,3239,4.32
198,GNS,HLP,141,0.19
199,GNS,PNK,3018,3.87
200,GNS,RKI,2190,2.68
201,GYO,MRB,2620,3.21
202,GYO,LYK,1747,2.1
203,GYO,MKF,1503,1.9
204,GYO,NRE,290,0.35
205,GYO,ENE,737,0.9
206,GYO,BJG,2355,3.08
207,GYO,TMB,3259,3.96
208,GYO,AAS,1130,1.38
209,GYO,PPJ,371,0.46
210,GYO,AKM,2074,2.6
211,GYO,BJW,1344,1.65
212,GYO,ONI,1585,2.05
213,GYO,LSE,756,0.89
214,GYO,BXT,902,1.06
215,GYO,DJB,579,0.74
216,GYO,MOF,1123,1.48
217,GYO,MDP,2943,3.67
218,GYO,ZRI,1762,2.2
219,GYO,TRK,630,0.77
220,GYO,SQG,3580,4.72
221,GYO,SKJ,2296,2.81
222,GYO,BTJ,3036,3.97
223,GYO,CGK,521,0.62
224,GYO,TLI,2538,2.99
225,GYO,BRG,419,0.55
226,GYO,RUF,1652,2.04
227,GYO,BPN,1270,1.6
228,GYO,SKO,397,0.52
229,GYO,RGT,2703,3.19
230,GYO,KNO,3372,4.31
231,GYO,SIQ,2981,3.6
232,GYO,GHS,1589,2.09
233,GYO,SIW,1645,2.04
234,GYO,MKW,3527,4.65
235,GYO,NAH,687,0.88
236,GYO,GEB,1060,1.27
237,GYO,MEQ,986,1.18
238,GYO,TTR,2702,3.43
239,GYO,TMH,1655,1.98
240,GYO,KOE,2572,3.27
241,GYO,SNX,2330,2.84
242,GYO,ZRM,2666,3.15
243,GYO,TXE,2786,3.5
244,GYO,YIA,609,0.75
245,GYO,HLP,1118,1.33
246,GYO,KBX,964,1.21
247,GYO,DUM,1586,1.93
248,GYO,ILG,1232,1.55
249,GYO,BXD,3323,4.13
250,GYO,WMX,544,0.7
251,MEQ,DOB,580,0.76
252,MEQ,PPJ,1410,1.74
253,MEQ,KWB,572,0.69
254,MEQ,BRG,1265,1.6
255,MEQ,RJM,1223,1.58
256,MEQ,KOE,3584,4.44
257,MEQ,KBU,1301,1.73
258,MEQ,RTU,2011,2.67
259,MEQ,PKN,3603,4.55
260,MEQ,MLG,3670,4.37
261,MEQ,SUP,3541,4.29
262,MEQ,FKQ,1880,2.27
263,MEQ,KMR,3541,4.44
264,MEQ,LSR,1766,2.1
265,MEQ,NBX,2397,2.99
266,MEQ,DUM,3309,4.1
267,MEQ,NAH,2160,2.88
268,MEQ,BWX,3529,4.63
269,MEQ,UGU,2253,2.82
270,MEQ,KEQ,1402,1.74
271,MEQ,RUF,1150,1.44
272,MEQ,LLG,428,0.51
273,MEQ,DPS,2415,3.01
274,MEQ,BIK,1232,1.6
275,MEQ,DRH,1807,2.26
276,MEQ,RTI,899,1.19
277,MEQ,SIW,2174,2.88
278,MEQ,BXG,633,0.82
279,MEQ,TMC,3198,4.12
280,MEQ,INX,3516,4.25
281,MEQ,AAS,150,0.2
282,MEQ,LWE,3654,4.65
283,MEQ,SKO,1097,1.39
284,MEQ,RDE,2970,3.61
285,MEQ,SRG,263,0.34
286,MEQ,OJU,1646,2.01
287,MEQ,CBN,3479,4.3
288,MEQ,NRE,3493,4.4
289,MEQ,TLI,2275,2.78
290,MEQ,UOL,2570,3.22
291,MEQ,CGK,2558,3.13
292,MEQ,UPG,905,1.18
293,MEQ,AYW,1928,2.34
294,MEQ,AHI,636,0.76
295,MEQ,LLO,511,0.64
296,MEQ,PSJ,2174,2.7
297,MEQ,MAP,631,0.75
298,MEQ,TKG,3635,4.8
299,MEQ,PKY,220,0.26
300,MEQ,KJX,2904,3.5
301,SIQ,UBR,1990,2.53
302,SIQ,ATS,778,0.95
303,SIQ,SHE,2384,2.97
304,SIQ,CBN,1856,2.26
305,SIQ,FKQ,2488,2.93
306,SIQ,NTX,2540,3.21
307,SIQ,ENE,2759,3.59
308,SIQ,HMS,437,0.56
309,SIQ,KXB,1196,1.52
310,SIQ,NAH,3248,3.84
311,SIQ,KRC,2893,3.59
312,SIQ,NNX,3095,3.7
313,SIQ,SXK,1334,1.63
314,SIQ,TNB,1736,2.31
315,SIQ,BDO,295,0.36
316,SIQ,AKQ,3133,3.84
317,SIQ,DTD,464,0.59
318,SIQ,PSU,1270,1.6
319,SIQ,MNA,1640,2.05
320,SIQ,ILG,1482,1.78
321,SIQ,KLK,675,0.8
322,SIQ,CPF,650,0.8
323,SIQ,WNI,2452,2.92
324,SIQ,BWX,2580,3.22
325,SIQ,PCB,3347,4.08
326,SIQ,LMU,3037,4.03
327,SIQ,OKL,741,0.92
328,SIQ,BTJ,369,0.47
329,SIQ,LII,616,0.76
330,SIQ,LOP,2092,2.65
331,SIQ,DUM,635,0.79
332,SIQ,MSA,1083,1.36
333,SIQ,BUW,3639,4.54
334,SIQ,MAP,1421,1.68
335,SIQ,MEQ,2226,2.85
336,SIQ,ZRM,1785,2.13
337,SIQ,AHI,2726,3.24
338,SIQ,OTI,892,1.08
339,SIQ,BRG,3614,4.78
340,SIQ,SEQ,2314,3.04
341,SIQ,RAQ,2452,3.19
342,SIQ,GAV,2481,3.09
343,SIQ,SUP,1860,2.27
344,SIQ,ABU,1253,1.63
345,SIQ,EWI,2499,3.05
346,SIQ,LHI,1953,2.36
347,SIQ,SAU,1090,1.33
348,SIQ,KNO,1836,2.18
349,SIQ,GNS,2878,3.8
350,SIQ,HLP,2094,2.54
351,PGK,MEQ,1594,1.88
352,PGK,NBX,1886,2.38
353,PGK,MSA,320,0.41
354,PGK,BXB,2738,3.25
355,PGK,MRB,2243,2.92
356,PGK,SQN,1585,2.07
357,PGK,ONI,3268,4.0
358,PGK,KSR,804,0.97
359,PGK,FKQ,465,0.6
360,PGK,GLX,305,0.36
361,PGK,DRH,2647,3.21
362,PGK,WNI,1223,1.45
363,PGK,BWX,1953,2.46
364,PGK,SMQ,1739,2.12
365,PGK,KJX,1839,2.25
366,PGK,WUB,1566,1.85
367,PGK,RTI,1612,1.99
368,PGK,LII,2686,3.58
369,PGK,LLG,3657,4.42
370,PGK,ZRM,3077,3.78
371,PGK,MAL,1643,2.11
372,PGK,BTO,218,0.29
373,PGK,RDE,2097,2.64
374,PGK,GTO,2836,3.71
375,PGK,KDI,1311,1.6
376,PGK,INX,442,0.56
377,PGK,TTR,2836,3.41
378,PGK,PLM,1664,2.04
379,PGK,ABY,259,0.33
380,PGK,GHS,1610,1.96
381,PGK,AEG,1253,1.55
382,PGK,LPU,1118,1.45
383,PGK,TIM,3060,3.85
384,PGK,MTW,2383,3.02
385,PGK,TJB,3029,4.01
386,PGK,DUM,1079,1.28
387,PGK,MDC,1434,1.74
388,PGK,NKD,2416,3.17
389,PGK,SWQ,2118,2.73
390,PGK,AHI,228,0.29
391,PGK,BJK,1319,1.65
392,PGK,BEJ,3260,4.13
393,PGK,CJN,337,0.43
394,PGK,TBX,1228,1.5
395,PGK,OKL,1514,1.89
396,PGK,AKQ,1007,1.21
397,PGK,DEX,950,1.23
398,PGK,BUI,1938,2.34
399,PGK,NAH,3600,4.79
400,PGK,SIQ,3375,4.49
401,KRC,WRR,1533,1.84
402,KRC,TIM,252,0.33
403,KRC,TMH,3478,4.26
404,KRC,LMU,1167,1.54
405,KRC,ABU,1641,2.07
406,KRC,HLP,1295,1.54
407,KRC,JOG,1918,2.35
408,KRC,NTX,1625,2.08
409,KRC,TKG,2538,3.11
410,KRC,BXD,2932,3.85
411,KRC,BXG,666,0.83
412,KRC,SKJ,163,0.2
413,KRC,PNK,1633,2.04
414,KRC,MOF,2152,2.87
415,KRC,BIK,1497,1.79
416,KRC,BRG,1360,1.69
417,KRC,OTI,2308,2.93
418,KRC,PSU,1257,1.53
419,KRC,LPU,836,1.08
420,KRC,JBB,3427,4.52
421,KRC,BMU,932,1.17
422,KRC,PGK,889,1.15
423,KRC,BUW,671,0.86
424,KRC,MOH,1948,2.54
425,KRC,MAL,2327,2.93
426,KRC,SIW,894,1.18
427,KRC,WNI,2962,3.71
428,KRC,CJN,2990,3.8
429,KRC,DEX,3696,4.73
430,KRC,WASS,3181,3.82
431,KRC,MDC,1967,2.41
432,KRC,MTW,2771,3.42
433,KRC,PPR,703,0.88
434,KRC,GLX,1865,2.2
435,KRC,PPJ,374,0.47
436,KRC,LLN,2513,3.24
437,KRC,KMR,2242,2.77
438,KRC,RGT,2515,3.06
439,KRC,MNA,207,0.26
440,KRC,AKM,2089,2.55
441,KRC,KBF,3424,4.42
442,KRC,TNB,1128,1.45
443,KRC,TJS,894,1.14
444,KRC,TJG,1859,2.48
445,KRC,AMQ,3513,4.33
446,KRC,RAQ,3656,4.76
447,KRC,DTD,2362,3.02
448,KRC,KOD,1334,1.68
449,KRC,AXO,3177,3.83
450,KRC,WGP,2072,2.59
451,BKS,EWE,1686,2.0
452,BKS,BMU,1086,1.41
453,BKS,LKA,2940,3.68
454,BKS,SUP,1377,1.77
455,BKS,TNB,3223,4.27
456,BKS,LYK,2344,3.12
457,BKS,UPG,2121,2.78
458,BKS,PGK,714,0.91
459,BKS,CXP,1958,2.46
460,BKS,SOC,3341,4.18
461,BKS,MPC,3427,4.43
462,BKS,NAM,1074,1.35
463,BKS,WHI,889,1.1
464,BKS,TXE,2590,3.09
465,BKS,MJU,825,1.02
466,BKS,KDI,3104,4.08
467,BKS,ZRM,1518,2.02
468,BKS,LLG,2257,2.96
469,BKS,HLP,3510,4.35
470,BKS,NDA,480,0.6
471,BKS,BTJ,136,0.17
472,BKS,KLK,2802,3.58
473,BKS,BXW,195,0.24
474,BKS,PPJ,1737,2.27
475,BKS,NKD,1802,2.3
476,BKS,NNX,1971,2.38
477,BKS,KJT,1546,1.93
478,BKS,BTO,428,0.56
479,BKS,BUI,1019,1.34
480,BKS,BJK,2091,2.76
481,BKS,PNK,2859,3.5
482,BKS,BWX,1448,1.84
483,BKS,KSR,470,0.62
484,BKS,KSX,3016,3.57
485,BKS,WSR,1270,1.62
486,BKS,TFY,1241,1.64
487,BKS,GEB,2408,2.94
488,BKS,LOP,3583,4.3
489,BKS,PLM,877,1.11
490,BKS,DOB,2400,3.11
491,BKS,KOE,2594,3.18
492,BKS,YIA,2828,3.35
493,BKS,KBF,2379,3.04
494,BKS,SWQ,146,0.19
495,BKS,SRG,3425,4.18
496,BKS,BPN,1400,1.7
497,BKS,BTH,2676,3.37
498,BKS,RTI,883,1.07
499,BKS,TMX,1755,2.2
500,BKS,MRB,2036,2.42
501,FLZ,DOB,1299,1.7
502,FLZ,WUB,249,0.33
503,FLZ,LLG,1902,2.41
504,FLZ,DTD,3122,3.69
505,FLZ,BJG,2705,3.47
506,FLZ,MNA,3674,4.52
507,FLZ,BKS,1730,2.11
508,FLZ,MAP,2291,2.87
509,FLZ,KOE,3133,4.04
510,FLZ,TBX,1887,2.39
511,FLZ,UOL,3155,3.92
512,FLZ,MLG,2867,3.82
513,FLZ,SBG,399,0.51
514,FLZ,PKU,1727,2.3
515,FLZ,KDI,1926,2.3
516,FLZ,NRE,145,0.17
517,FLZ,BTJ,2575,3.32
518,FLZ,TLI,2511,3.06
519,FLZ,SRG,3228,3.82
520,FLZ,PDG,1755,2.32
521,FLZ,TIM,2854,3.39
522,FLZ,RKI,265,0.34
523,FLZ,ZRM,522,0.69
524,FLZ,PGK,254,0.32
525,FLZ,SEQ,2656,3.54
526,FLZ,DJJ,2341,2.78
527,FLZ,LMU,1072,1.28
528,FLZ,MOH,750,0.91
529,FLZ,BXM,1416,1.85
530,FLZ,MJU,2452,3.09
531,FLZ,LSW,2742,3.53
532,FLZ,CGK,3327,4.32
533,FLZ,SUP,306,0.4
534,FLZ,SQN,731,0.86
535,FLZ,SQG,2209,2.93
536,FLZ,RTI,2530,3.26
537,FLZ,TSY,1127,1.35
538,FLZ,HMS,866,1.07
539,FLZ,MDC,354,0.47
540,FLZ,ATS,870,1.07
541,FLZ,OJU,268,0.34
542,FLZ,GTO,2599,3.28
543,FLZ,GEB,1664,2.05
544,FLZ,PPJ,2925,3.49
545,FLZ,KEI,1937,2.37
546,FLZ,KSR,2692,3.27
547,FLZ,OTI,1543,1.93
548,FLZ,RGT,1643,2.11
549,FLZ,RDE,257,0.34
550,FLZ,UGU,2926,3.5
551,TJQ,LSR,1094,1.44
552,TJQ,TPK,2310,2.74
553,TJQ,ABU,2034,2.71
554,TJQ,KOX,960,1.13
555,TJQ,BDJ,2536,3.1
556,TJQ,BXW,2959,3.71
557,TJQ,BDO,1608,1.91
558,TJQ,PNK,3049,3.85
559,TJQ,SMQ,1120,1.41
560,TJQ,BXB,2928,3.8
561,TJQ,GHS,3256,3.99
562,TJQ,KSR,3335,4.05
563,TJQ,ILG,2157,2.76
564,TJQ,BPN,920,1.15
565,TJQ,GNS,2522,3.17
566,TJQ,PPR,3574,4.59
567,TJQ,OKQ,1463,1.75
568,TJQ,KSX,2998,3.62
569,TJQ,PWL,378,0.45
570,TJQ,SQN,574,0.72
571,TJQ,GTO,2017,2.42
572,TJQ,FLZ,364,0.48
573,TJQ,PSU,1286,1.53
574,TJQ,LWE,1649,2.12
575,TJQ,LSE,3030,3.67
576,TJQ,DRH,1734,2.23
577,TJQ,TFY,1962,2.32
578,TJQ,BEJ,2225,2.8
579,TJQ,RPI,2502,3.11
580,TJQ,MLG,1110,1.41
581,TJQ,LLN,999,1.22
582,TJQ,TJC,3544,4.29
583,TJQ,JIO,2470,3.25
584,TJQ,JKT,374,0.45
585,TJQ,SOC,2080,2.74
586,TJQ,KTG,2947,3.6
587,TJQ,WRR,2908,3.84
588,TJQ,NTX,844,1.11
589,TJQ,CBN,2270,2.95
590,TJQ,LYK,3346,4.43
591,TJQ,BRG,2007,2.63
592,TJQ,TTR,451,0.56
593,TJQ,WGP,2328,2.91
594,TJQ,PDG,2054,2.58
595,TJQ,KEI,1004,1.26
596,TJQ,IUL,1766,2.13
597,TJQ,NBX,2050,2.48
598,TJQ,MAL,2347,3.06
599,TJQ,PGK,2475,3.23
600,TJQ,MDC,634,0.82
601,BTH,DRH,2322,3.05
602,BTH,GEB,219,0.29
603,BTH,DTD,297,0.36
604,BTH,SQG,226,0.29
605,BTH,NNX,595,0.75
606,BTH,KAZ,1401,1.75
607,BTH,WGP,2169,2.68
608,BTH,KNO,945,1.17
609,BTH,AAP,2447,3.03
610,BTH,SOC,290,0.34
611,BTH,PPJ,774,0.96
612,BTH,RSK,2627,3.4
613,BTH,LSW,680,0.83
614,BTH,SHE,862,1.11
615,BTH,TMY,3698,4.54
616,BTH,GHS,826,1.0
617,BTH,BWX,452,0.54
618,BTH,KOX,1522,1.9
619,BTH,TNJ,2167,2.79
620,BTH,MPC,201,0.26
621,BTH,KEQ,3654,4.43
622,BTH,KSR,1415,1.68
623,BTH,NAM,1981,2.52
624,BTH,NDA,951,1.16
625,BTH,DEX,3572,4.4
626,BTH,BMU,969,1.22
627,BTH,MXB,3587,4.41
628,BTH,MOH,3520,4.43
629,BTH,SIQ,880,1.13
630,BTH,BXG,1326,1.7
631,BTH,WET,2587,3.38
632,BTH,TJQ,1190,1.47
633,BTH,LMU,495,0.64
634,BTH,LBW,1282,1.55
635,BTH,WHI,3153,3.91
636,BTH,MTW,3641,4.38
637,BTH,FKQ,1976,2.38
638,BTH,BXD,2864,3.52
639,BTH,TIM,702,0.86
640,BTH,PSU,1374,1.67
641,BTH,RPI,3483,4.17
642,BTH,LAH,2685,3.42
643,BTH,UBR,519,0.61
644,BTH,UGU,1861,2.28
645,BTH,TTE,708,0.93
646,BTH,WMX,988,1.17
647,BTH,LOP,794,0.98
648,BTH,WUB,2748,3.52
649,BTH,BJW,3692,4.35
650,BTH,WSR,1439,1.7
651,KNO,GEB,3523,4.25
652,KNO,WHI,532,0.71
653,KNO,NNX,3024,3.96
654,KNO,BDO,3197,4.15
655,KNO,PDG,3329,4.18
656,KNO,DJB,861,1.06
657,KNO,RKI,543,0.71
658,KNO,TBX,599,0.72
659,KNO,SRG,2060,2.49
660,KNO,GHS,3184,3.91
661,KNO,EWI,916,1.18
662,KNO,UBR,1175,1.45
663,KNO,PSU,265,0.35
664,KNO,NBX,315,0.37
665,KNO,SOC,2431,2.87
666,KNO,RJM,1189,1.52
667,KNO,JKT,809,1.04
668,KNO,TTR,970,1.2
669,KNO,OTI,189,0.24
670,KNO,BXG,2335,3.0
671,KNO,KEQ,2323,2.96
672,KNO,SXK,1404,1.77
673,KNO,BUW,979,1.31
674,KNO,MOH,2342,3.04
675,KNO,BXB,3224,4.18
676,KNO,ABU,3440,4.37
677,KNO,KJT,1025,1.22
678,KNO,NAH,3202,4.08
679,KNO,YIA,1276,1.54
680,KNO,MNA,872,1.09
681,KNO,MOF,2561,3.05
682,KNO,LMU,2695,3.25
683,KNO,MKF,2782,3.37
684,KNO,LLG,1133,1.35
685,KNO,MES,1963,2.35
686,KNO,BPN,1759,2.21
687,KNO,KSR,3625,4.4
688,KNO,GLX,1199,1.46
689,KNO,NAM,695,0.82
690,KNO,SHE,986,1.18
691,KNO,MDP,3583,4.48
692,KNO,BJW,757,0.9
693,KNO,NRE,677,0.81
694,KNO,DTD,3194,4.04
695,KNO,ARD,3576,4.3
696,KNO,MRB,2507,3.17
697,KNO,KDI,1405,1.73
698,KNO,AXO,1352,1.7
699,KNO,DJJ,470,0.55
700,KNO,KAZ,3318,4.29
701,PDG,UOL,2853,3.4
702,PDG,SEQ,2904,3.56
703,PDG,MKF,2120,2.64
704,PDG,LSW,2780,3.44
705,PDG,SNX,2219,2.8
706,PDG,BTJ,2776,3.3
707,PDG,NTI,2709,3.33
708,PDG,SUP,1038,1.31
709,PDG,TFY,1395,1.74
710,PDG,KEQ,1383,1.66
711,PDG,BXD,871,1.04
712,PDG,GTO,911,1.19
713,PDG,LKA,2027,2.42
714,PDG,NBX,774,1.0
715,PDG,FKQ,2805,3.39
716,PDG,WHI,2274,2.85
717,PDG,CJN,1683,2.19
718,PDG,SKO,3371,4.27
719,PDG,BRG,1308,1.69
720,PDG,TTE,3563,4.29
721,PDG,KOD,533,0.66
722,PDG,TMH,1319,1.72
723,PDG,AMQ,1016,1.32
724,PDG,BXW,1849,2.33
725,PDG,PXA,1341,1.59
726,PDG,RGT,3364,4.07
727,PDG,OTI,705,0.9
728,PDG,LAH,1851,2.3
729,PDG,AYW,3085,3.83
730,PDG,SUB,954,1.23
731,PDG,SMQ,857,1.09
732,PDG,TIM,1508,1.95
733,PDG,LUV,2229,2.84
734,PDG,RTI,2586,3.09
735,PDG,BDO,715,0.86
736,PDG,CGK,3554,4.36
737,PDG,CXP,2828,3.75
738,PDG,EWE,2853,3.54
739,PDG,RPI,3361,4.13
740,PDG,TNB,2081,2.5
741,PDG,SAU,3496,4.64
742,PDG,OJU,275,0.33
743,PDG,LHI,1650,1.95
744,PDG,ELR,1449,1.73
745,PDG,LPU,2243,2.68
746,PDG,LBW,2227,2.68
747,PDG,BTO,768,1.0
748,PDG,LUW,1152,1.39
749,PDG,MSA,1759,2.28
750,PDG,FOO,804,1.05
751,BTJ,LSW,1242,1.5
752,BTJ,DUM,530,0.67
753,BTJ,RDE,1189,1.48
754,BTJ,AHI,436,0.55
755,BTJ,KNO,2601,3.4
756,BTJ,DEX,613,0.75
757,BTJ,NTI,579,0.73
758,BTJ,TRK,2851,3.37
759,BTJ,WASS,2231,2.63
760,BTJ,KJT,363,0.47
761,BTJ,DTB,394,0.48
762,BTJ,WHI,776,0.92
763,BTJ,DJB,2063,2.54
764,BTJ,DRH,239,0.31
765,BTJ,WNI,2610,3.47
766,BTJ,FKQ,2880,3.78
767,BTJ,SQN,3069,3.9
768,BTJ,MKW,3053,3.76
769,BTJ,LPU,3245,4.32
770,BTJ,JIO,1699,2.01
771,BTJ,MXB,844,1.03
772,BTJ,PKU,696,0.9
773,BTJ,KAZ,1723,2.05
774,BTJ,KNG,481,0.59
775,BTJ,SOQ,1702,2.22
776,BTJ,TBX,2418,2.93
777,BTJ,GTO,337,0.42
778,BTJ,NBX,1399,1.65
779,BTJ,TLI,1486,1.83
780,BTJ,RPI,1431,1.85
781,BTJ,NAH,1280,1.57
782,BTJ,WAR,518,0.61
783,BTJ,AYW,624,0.77
784,BTJ,AKQ,2137,2.66
785,BTJ,TPK,2082,2.62
786,BTJ,PLM,1227,1.57
787,BTJ,MOF,723,0.91
788,BTJ,WMX,3435,4.07
789,BTJ,HMS,1634,1.94
790,BTJ,OJU,3633,4.8
791,BTJ,TTE,739,0.93
792,BTJ,LLG,1516,1.81
793,BTJ,BJK,2094,2.54
794,BTJ,LBJ,2974,3.58
795,BTJ,BXT,3153,3.89
796,BTJ,ILG,3479,4.3
797,BTJ,KOX,609,0.79
798,BTJ,AXO,3483,4.58
799,BTJ,SKO,285,0.36
800,BTJ,SIQ,2080,2.56
801,RGT,GHS,3037,3.68
802,RGT,BMU,435,0.55
803,RGT,BTO,1702,2.24
804,RGT,BJK,2157,2.69
805,RGT,SXK,2774,3.45
806,RGT,BDJ,3410,4.24
807,RGT,KLK,2246,2.98
808,RGT,KTG,1194,1.44
809,RGT,MDP,2918,3.66
810,RGT,TLI,3473,4.23
