id,origin,destination,depart_date,best_price
79,KOX,NPO,2023-04-29,1347671.0
80,PKN,TLI,2023-04-07,1347671.0
81,GEB,AEG,2023-04-08,1347671.0
82,CPF,DJJ,2023-04-12,1347671.0
83,LBW,PPR,2023-04-13,1347671.0
84,MJU,NTX,2023-04-14,1347671.0
85,LSR,WET,2023-04-15,1347671.0
86,TRT,TJG,2023-04-30,1347671.0
87,CJN,ELR,2023-04-10,1347671.0
88,BNE,TXE,2023-04-11,1347671.0
89,GNS,KTG,2023-04-01,1378150.0
90,CJN,KEI,2023-04-16,743609.0
91,GAV,LLO,2023-04-17,743609.0
92,ELR,PCB,2023-04-18,743609.0
93,ARD,TJB,2023-04-19,743609.0
94,DEX,BKS,2023-04-01,743609.0
95,AKQ,LSW,2023-04-23,743609.0
96,SQN,BDJ,2023-04-02,743609.0
97,KBF,DJB,2023-04-24,743609.0
98,NBX,AMQ,2023-04-03,743609.0
99,NTI,TTR,2023-04-25,743609.0
100,KNO,BJK,2023-04-04,743609.0
101,KTG,WUB,2023-04-26,743609.0
102,SRG,SQN,2023-04-22,743609.0
103,PDG,AAS,2023-04-09,743609.0
104,KBX,TJG,2023-04-27,743609.0
105,KOX,MAP,2023-04-05,743609.0
106,MKQ,SBG,2023-04-06,743609.0
107,NBX,GYO,2023-04-28,743609.0
108,TBX,RTG,2023-04-07,743609.0
109,MDP,ONI,2023-04-29,743609.0
110,LHI,MAL,2023-04-08,743609.0
111,WMX,TMC,2023-04-12,743609.0
112,TRK,RTG,2023-04-13,743609.0
113,KSR,RTG,2023-04-14,743609.0
114,KWB,LYK,2023-04-15,743609.0
115,RKI,MAL,2023-04-30,743609.0
116,LWE,BEJ,2023-04-10,743609.0
117,LII,AHI,2023-04-11,762480.0
118,DRH,NTX,2023-04-20,781349.0
119,RPI,CGK,2023-04-21,781349.0
120,WMX,MRB,2023-04-24,623396.0
121,TFY,JKT,2023-04-25,623396.0
122,BJK,EWI,2023-04-26,623396.0
123,PDG,NDA,2023-04-27,623396.0
124,MES,SXK,2023-04-28,623396.0
125,JBB,NPO,2023-04-29,623396.0
126,RTU,DPS,2023-04-01,725002.0
127,ATS,TPK,2023-04-02,725002.0
128,KRC,DJB,2023-04-03,725002.0
129,LPU,LSR,2023-04-04,725002.0
130,MSA,PKN,2023-04-05,725002.0
131,WET,AEG,2023-04-16,787676.0
132,RTI,LLO,2023-04-17,787676.0
133,TIM,MAL,2023-04-18,787676.0
134,PWL,RJM,2023-04-23,787676.0
135,RTG,KXB,2023-04-09,787676.0
136,PKN,JKT,2023-04-06,787676.0
137,RTI,KOX,2023-04-07,787676.0
138,GLX,DOB,2023-04-08,787676.0
139,GLX,UGU,2023-04-12,787676.0
140,TXE,TRK,2023-04-13,787676.0
141,TTR,AAP,2023-04-14,787676.0
142,GYO,KSR,2023-04-15,787676.0
143,KNG,DPS,2023-04-30,787676.0
144,TMX,TIM,2023-04-10,787676.0
145,TFY,IUL,2023-04-11,787676.0
146,DUM,BTJ,2023-04-19,842066.0
147,ABU,IUL,2023-04-22,842066.0
148,KMR,CJN,2023-04-20,897566.0
149,BTW,ENE,2023-04-21,897566.0
150,TJQ,RPI,2023-04-16,1642875.0
151,SQN,PNK,2023-04-17,1642875.0
152,TXE,BPN,2023-04-18,1642875.0
153,SRG,DOB,2023-04-19,1642875.0
154,BJW,IUL,2023-04-23,1642875.0
155,YIA,SWQ,2023-04-01,1642875.0
156,TIM,RAQ,2023-04-24,1642875.0
157,PLM,WUB,2023-04-02,1642875.0
158,TJS,LSW,2023-04-03,1642875.0
159,LAH,PKU,2023-04-25,1642875.0
160,LBW,BJK,2023-04-26,1642875.0
161,ONI,HMS,2023-04-04,1642875.0
162,OKQ,NTX,2023-04-20,1642875.0
163,LLG,KDI,2023-04-21,1642875.0
164,EWE,NBX,2023-04-22,1642875.0
165,NKD,BNE,2023-04-09,1642875.0
166,PKY,NPO,2023-04-05,1642875.0
167,TTE,TJC,2023-04-27,1642875.0
168,KOX,MES,2023-04-28,1642875.0
169,BRG,BWX,2023-04-06,1642875.0
170,AEG,LUV,2023-04-07,1642875.0
171,GYO,GNS,2023-04-29,1642875.0
172,DEX,ARD,2023-04-08,1642875.0
173,DPS,INX,2023-04-12,1642875.0
174,TJG,JKT,2023-04-13,1642875.0
175,PXA,NDA,2023-04-14,1642875.0
176,KOE,BJG,2023-04-15,1642875.0
177,FOO,NAH,2023-04-30,1642875.0
178,PDG,UGU,2023-04-10,1642875.0
179,GHS,OKQ,2023-04-11,1642875.0
180,TPK,GHS,2023-04-01,638620.0
181,RPI,BXW,2023-04-02,638620.0
182,KEI,LSE,2023-04-03,638620.0
183,AGD,HMS,2023-04-04,638620.0
184,PWL,OKL,2023-04-09,638620.0
185,SKJ,SQN,2023-04-05,638620.0
186,TMX,BXT,2023-04-06,638620.0
187,CBN,MOF,2023-04-07,638620.0
188,SKJ,PSJ,2023-04-08,638620.0
189,MJU,TNB,2023-04-22,854150.0
190,RSK,BMU,2023-04-28,854150.0
191,ZRI,OJU,2023-04-29,854150.0
192,BJW,LAH,2023-04-14,854150.0
193,TMX,UPG,2023-04-15,854150.0
194,WMX,KRC,2023-04-16,894110.0
195,LOP,PPR,2023-04-17,894110.0
196,NRE,GNS,2023-04-18,894110.0
197,TKG,NAM,2023-04-19,894110.0
198,DTB,JBB,2023-04-23,894110.0
199,BTH,TJC,2023-04-24,894110.0
200,MAL,MOA,2023-04-25,894110.0
201,ATS,EWI,2023-04-26,894110.0
202,BUI,HLP,2023-04-20,894110.0
203,KLP,DEX,2023-04-21,894110.0
204,DUM,ARD,2023-04-27,894110.0
205,PCB,LBJ,2023-04-12,894110.0
206,NAM,BXT,2023-04-13,894110.0
207,MES,OTI,2023-04-30,894110.0
208,YIA,GEB,2023-04-10,894110.0
209,BXG,GHS,2023-04-11,894110.0
210,TRT,FKQ,2023-04-24,601625.0
211,DUM,AKQ,2023-04-25,601625.0
212,DUM,GYO,2023-04-26,601625.0
213,BJG,TKG,2023-04-01,789400.0
214,AKQ,SKO,2023-04-02,789400.0
215,KOD,GNS,2023-04-03,789400.0
216,TJB,WRR,2023-04-04,789400.0
217,NBX,TJS,2023-04-09,789400.0
218,KBU,ONI,2023-04-05,789400.0
219,TLI,BWX,2023-04-06,789400.0
220,NNX,KBX,2023-04-07,789400.0
221,LII,WET,2023-04-08,789400.0
222,TMX,KLK,2023-04-10,789400.0
223,NBX,RTI,2023-04-16,942395.0
224,ZEG,UOL,2023-04-17,942395.0
225,MSA,AAS,2023-04-18,942395.0
226,NAH,WNI,2023-04-19,942395.0
227,PXA,IUL,2023-04-23,942395.0
228,NBX,SWQ,2023-04-22,942395.0
229,NAH,AHI,2023-04-27,942395.0
230,WNI,JIO,2023-04-28,942395.0
231,KEI,OJU,2023-04-29,942395.0
232,WAR,KLK,2023-04-12,942395.0
233,SEQ,CGK,2023-04-13,942395.0
234,TJG,RTI,2023-04-14,942395.0
235,INX,KLP,2023-04-15,942395.0
236,KBX,KJX,2023-04-30,942395.0
237,AHI,MJU,2023-04-11,942395.0
238,KOE,GNS,2023-04-20,1027865.0
239,YIA,KSX,2023-04-21,1027865.0
240,KSX,RAQ,2023-04-16,744420.0
241,ZEG,LOP,2023-04-17,744420.0
242,BTO,JIO,2023-04-18,744420.0
243,KNG,AHI,2023-04-19,744420.0
244,LAH,MDP,2023-04-01,744420.0
245,TMC,SRG,2023-04-23,744420.0
246,FOO,MLG,2023-04-02,744420.0
247,SUB,MLG,2023-04-24,744420.0
248,MNA,SRG,2023-04-03,744420.0
249,MAL,BUI,2023-04-25,744420.0
250,SKJ,PLW,2023-04-04,744420.0
251,TIM,MJU,2023-04-26,744420.0
252,WAR,KEQ,2023-04-20,744420.0
253,AAS,SNX,2023-04-21,744420.0
254,MDC,BXG,2023-04-22,744420.0
255,YIA,SNX,2023-04-09,744420.0
256,UGU,OKQ,2023-04-27,744420.0
257,CBN,TMY,2023-04-05,744420.0
258,TJQ,TPK,2023-04-28,744420.0
259,DJB,NNX,2023-04-06,744420.0
260,LUW,GYO,2023-04-07,744420.0
261,BRG,SRG,2023-04-29,744420.0
262,MDC,SAU,2023-04-08,744420.0
263,PKY,BIK,2023-04-12,744420.0
264,MDC,MPC,2023-04-13,744420.0
265,BXM,DTD,2023-04-14,744420.0
266,PKN,TIM,2023-04-15,744420.0
267,BUI,NBX,2023-04-30,744420.0
268,MDC,GAV,2023-04-10,744420.0
269,LSR,LLO,2023-04-11,744420.0
270,LUW,ABU,2023-04-01,853706.0
271,OKL,LAH,2023-04-02,853706.0
272,CJN,BXT,2023-04-25,853706.0
273,BXT,WSR,2023-04-04,853706.0
274,ZRI,AHI,2023-04-26,853706.0
275,SHE,NAM,2023-04-27,853706.0
276,ZEG,MTW,2023-04-28,853706.0
277,MSA,WET,2023-04-29,853706.0
278,AXO,BXW,2023-04-22,1123600.0
279,SKO,BRG,2023-04-12,1123600.0
280,LUW,SKO,2023-04-13,1123600.0
281,KWB,ENE,2023-04-15,1123600.0
282,LAH,INX,2023-04-16,1143480.0
283,DEX,SUB,2023-04-17,1143480.0
284,MAL,PKU,2023-04-18,1143480.0
285,INX,KLK,2023-04-19,1143480.0
286,MAL,BEJ,2023-04-23,1143480.0
287,SUP,LII,2023-04-24,1143480.0
288,BXD,TMX,2023-04-20,1143480.0
289,KEQ,ILG,2023-04-21,1143480.0
290,BXM,KLP,2023-04-14,1143480.0
291,TTR,IUL,2023-04-11,1143480.0
292,LYK,AEG,2023-04-30,1192256.0
293,PKU,AKM,2023-04-03,1261076.0
294,RKI,MAP,2023-04-05,1261076.0
295,CXP,KMR,2023-04-09,1342580.0
296,WNI,KOE,2023-04-06,1342580.0
297,TJC,TLI,2023-04-08,1342580.0
298,INX,KWB,2023-04-07,1531916.0
299,ONI,LPU,2023-04-10,1531916.0
300,RTG,MOF,2023-04-25,723892.0
301,RUF,KOD,2023-04-26,723892.0
302,LBJ,MAP,2023-04-27,723892.0
303,BDJ,HMS,2023-04-28,723892.0
304,KMR,TKG,2023-04-29,723892.0
305,RPI,DTB,2023-04-24,833782.0
306,BUI,MKQ,2023-04-23,875050.0
307,TSY,PXA,2023-04-22,875050.0
308,LHI,ARD,2023-04-12,875050.0
309,PSU,KJX,2023-04-13,875050.0
310,SEQ,MNA,2023-04-30,875050.0
311,WGP,KOE,2023-04-11,875050.0
312,BUI,PPJ,2023-04-01,930550.0
313,GEB,ABU,2023-04-02,930550.0
314,AXO,SOC,2023-04-03,930550.0
315,GHS,FOO,2023-04-04,930550.0
316,BIK,TJB,2023-04-09,930550.0
317,AXO,MTW,2023-04-05,930550.0
318,WGP,TTR,2023-04-06,930550.0
319,SKJ,SOQ,2023-04-07,930550.0
320,WASS,WAR,2023-04-08,930550.0
321,CBN,OKQ,2023-04-10,930550.0
322,WAR,NTI,2023-04-16,1370050.0
323,LUV,TRK,2023-04-17,1370050.0
324,SXK,MKW,2023-04-18,1370050.0
325,TLI,RGT,2023-04-19,1370050.0
326,DJB,AYW,2023-04-20,1370050.0
327,TRK,TRT,2023-04-21,1370050.0
328,LBW,DJB,2023-04-14,1370050.0
329,MSA,SAU,2023-04-15,1370050.0
330,FLZ,NAM,2023-04-01,725002.0
331,OKL,NAM,2023-04-24,725002.0
332,BXG,SUB,2023-04-02,725002.0
333,LII,TMB,2023-04-03,725002.0
334,AKM,PKU,2023-04-25,725002.0
335,BJW,DOB,2023-04-04,725002.0
336,DOB,BJK,2023-04-26,725002.0
337,RSK,LBW,2023-04-05,725002.0
338,TPK,KRC,2023-04-27,725002.0
339,TJS,AEG,2023-04-28,725002.0
340,SIQ,LHI,2023-04-29,725002.0
341,LBJ,TMB,2023-04-09,930550.0
342,GHS,BXT,2023-04-06,930550.0
343,KDI,TTR,2023-04-07,930550.0
344,KJT,KBX,2023-04-08,930550.0
345,MDC,JOG,2023-04-10,930550.0
346,LSR,SMQ,2023-04-12,1097330.0
347,MSA,BKS,2023-04-13,1097330.0
348,SRG,LBJ,2023-04-14,1097330.0
349,LKA,TTE,2023-04-11,1097330.0
350,IUL,PPR,2023-04-23,1150250.0
351,PLM,TMC,2023-04-22,1150250.0
352,MAL,TMX,2023-04-30,1150250.0
353,KRC,RTI,2023-04-16,1370050.0
354,WAR,KBU,2023-04-17,1370050.0
355,TJS,MXB,2023-04-18,1370050.0
356,AXO,MPC,2023-04-19,1370050.0
357,SRG,SIQ,2023-04-20,1370050.0
358,LHI,BPN,2023-04-21,1370050.0
359,BRG,PDG,2023-04-15,1370050.0
360,WGP,WHI,2023-04-25,943520.0
361,TMC,BRG,2023-04-26,943520.0
362,CJN,LBJ,2023-04-05,943520.0
363,PLW,FOO,2023-04-27,943520.0
364,LUV,RTU,2023-04-28,943520.0
365,TMC,BDJ,2023-04-29,943520.0
366,WNI,DPS,2023-04-01,1023259.0
367,KBU,TIM,2023-04-02,1023259.0
368,MDC,KEQ,2023-04-24,1023259.0
369,KBX,SEQ,2023-04-03,1023259.0
370,GEB,MTW,2023-04-04,1023259.0
371,JIO,INX,2023-04-06,1191750.0
372,LBW,TNJ,2023-04-09,1445950.0
373,KOD,MKF,2023-04-07,1445950.0
374,NKD,LHI,2023-04-08,1445950.0
375,KDI,KBU,2023-04-12,1445950.0
376,LII,RGT,2023-04-13,1445950.0
377,TJS,ABY,2023-04-10,1445950.0
378,SAU,SEQ,2023-04-11,1445950.0
379,PSU,TTR,2023-04-30,1530350.0
380,ARD,RJM,2023-04-16,1700150.0
381,TLI,TIM,2023-04-17,1700150.0
382,GTO,HLP,2023-04-18,1700150.0
383,TRK,KSR,2023-04-19,1700150.0
384,FKQ,KNG,2023-04-23,1700150.0
385,CJN,KBX,2023-04-20,1700150.0
386,GLX,SQG,2023-04-21,1700150.0
387,LHI,TBX,2023-04-22,1700150.0
388,SOQ,UOL,2023-04-14,1700150.0
389,MOA,FKQ,2023-04-15,1700150.0
390,NTI,MKQ,2023-04-27,870911.0
391,LUV,TBX,2023-04-01,947580.0
392,SUP,TJB,2023-04-02,947580.0
393,TXE,MRB,2023-04-03,947580.0
394,DPS,SIQ,2023-04-04,947580.0
395,LMU,NNX,2023-04-09,947580.0
396,SRG,MXB,2023-04-05,947580.0
397,WGP,AKM,2023-04-06,947580.0
398,TLI,TTR,2023-04-07,947580.0
399,RTI,PKN,2023-04-08,947580.0
400,ABU,SKJ,2023-04-10,947580.0
401,BIK,AEG,2023-04-25,1009661.0
402,LYK,NPO,2023-04-26,1009661.0
403,TLI,LAH,2023-04-28,1009661.0
404,TXE,NTI,2023-04-29,1009661.0
405,WHI,ABY,2023-04-24,1078481.0
406,LLN,SIQ,2023-04-12,1248750.0
407,BUI,PLW,2023-04-13,1248750.0
408,PSJ,BRG,2023-04-11,1248750.0
409,ONI,TNB,2023-04-14,1272400.0
410,MKF,MSA,2023-04-30,1619900.0
411,SBG,AGD,2023-04-16,1688600.0
412,WSR,TJC,2023-04-17,1688600.0
413,WUB,JIO,2023-04-18,1688600.0
414,PKU,PPR,2023-04-19,1688600.0
415,TMH,BXD,2023-04-23,1688600.0
416,LLO,BXG,2023-04-20,1688600.0
417,BTO,KWB,2023-04-21,1688600.0
418,BXB,NTI,2023-04-22,1688600.0
419,PGK,LUV,2023-04-15,1688600.0
420,PXA,UBR,2023-04-24,474101.0
421,PXA,LHI,2023-04-25,474101.0
422,DJJ,NBX,2023-04-26,474101.0
423,LMU,TMB,2023-04-28,474101.0
424,TJB,RTG,2023-04-27,552911.0
425,BDJ,KBX,2023-04-29,572821.0
426,DUM,AAS,2023-04-01,701750.0
427,KSR,AEG,2023-04-02,701750.0
428,EWI,KNO,2023-04-03,701750.0
429,ZEG,RSK,2023-04-04,701750.0
430,IUL,MDP,2023-04-09,701750.0
431,CGK,UOL,2023-04-05,701750.0
432,SRG,LMU,2023-04-06,701750.0
433,AXO,SIW,2023-04-07,701750.0
434,GNS,TMH,2023-04-08,701750.0
435,LLG,DEX,2023-04-10,701750.0
436,EWI,MXB,2023-04-16,920330.0
437,BWX,KNO,2023-04-17,920330.0
438,RGT,SXK,2023-04-18,920330.0
439,LAH,UOL,2023-04-19,920330.0
440,OKL,GLX,2023-04-23,920330.0
441,WUB,NAM,2023-04-20,920330.0
442,GAV,TRK,2023-04-21,920330.0
443,MLG,WGP,2023-04-22,920330.0
444,MOH,KJT,2023-04-12,920330.0
445,MEQ,KOE,2023-04-13,920330.0
446,TJS,WAR,2023-04-14,920330.0
447,RPI,PSJ,2023-04-15,920330.0
448,WAR,WMX,2023-04-30,920330.0
449,PLM,TXE,2023-04-11,920330.0
450,RKI,BWX,2023-04-04,820030.0
451,PSU,ILG,2023-04-09,820030.0
452,MLG,GNS,2023-04-05,820030.0
453,AYW,TTR,2023-04-06,820030.0
454,KTG,WHI,2023-04-07,820030.0
455,TJS,BTJ,2023-04-08,820030.0
456,DRH,TTE,2023-04-10,820030.0
457,ZEG,MPC,2023-04-02,866730.0
458,WNI,TSY,2023-04-03,866730.0
459,ELR,PLM,2023-04-26,958830.0
460,MDP,BMU,2023-04-27,958830.0
461,MAL,KNG,2023-04-28,958830.0
462,MKQ,TMX,2023-04-29,958830.0
463,LUV,SIQ,2023-04-12,958830.0
464,PPJ,NAM,2023-04-13,958830.0
465,TLI,TJB,2023-04-30,958830.0
466,KJX,DTD,2023-04-11,958830.0
467,MRB,NAH,2023-04-01,1005430.0
468,KNG,FOO,2023-04-23,1052030.0
469,MKW,MEQ,2023-04-24,1052030.0
470,CJN,RKI,2023-04-25,1052030.0
471,SOC,FKQ,2023-04-22,1052030.0
472,PPJ,SXK,2023-04-16,1190830.0
473,LBW,NAH,2023-04-17,1190830.0
474,OTI,LOP,2023-04-18,1190830.0
475,RKI,AYW,2023-04-19,1190830.0
476,UPG,KLK,2023-04-20,1190830.0
477,NTX,ZRM,2023-04-21,1190830.0
478,TTE,OJU,2023-04-14,1190830.0
479,KLP,RTU,2023-04-15,1190830.0
480,BJW,DTB,2023-04-01,844216.0
481,FKQ,KBF,2023-04-02,844216.0
482,RAQ,OTI,2023-04-24,844216.0
483,AHI,BJW,2023-04-25,844216.0
484,KNG,LPU,2023-04-03,844216.0
485,LUW,MES,2023-04-26,844216.0
486,DEX,BKS,2023-04-04,844216.0
487,RGT,CJN,2023-04-27,844216.0
488,LBW,TSY,2023-04-05,844216.0
489,LUV,KEI,2023-04-28,844216.0
490,KOE,KLK,2023-04-29,844216.0
491,PPR,NTX,2023-04-30,910816.0
492,WHI,PPR,2023-04-06,960450.0
493,DJB,MNA,2023-04-16,1011000.0
494,GAV,NAH,2023-04-17,1011000.0
495,NAM,PDG,2023-04-18,1011000.0
496,MPC,PCB,2023-04-19,1011000.0
497,TJS,LOP,2023-04-23,1011000.0
498,CPF,PSJ,2023-04-20,1011000.0
499,SAU,PKN,2023-04-21,1011000.0
500,TMC,LSE,2023-04-22,1011000.0
501,BTH,AKM,2023-04-09,1011000.0
502,KJT,MEQ,2023-04-07,1011000.0
503,ABU,BPN,2023-04-08,1011000.0
504,BDO,KXB,2023-04-12,1011000.0
505,DTB,LYK,2023-04-13,1011000.0
506,AMQ,PLW,2023-04-14,1011000.0
507,LSE,MPC,2023-04-15,1011000.0
508,JBB,SBG,2023-04-10,1011000.0
509,PGK,KMR,2023-04-11,1011000.0
510,WSR,JKT,2023-04-01,818797.0
511,LBJ,LLN,2023-04-24,818797.0
512,DPS,ONI,2023-04-02,818797.0
513,LLN,SOC,2023-04-25,818797.0
514,PSJ,MKQ,2023-04-03,818797.0
515,MKQ,PLM,2023-04-04,818797.0
516,LOP,AAP,2023-04-26,818797.0
517,NNX,TIM,2023-04-27,818797.0
518,TJC,KBX,2023-04-05,818797.0
519,PCB,DEX,2023-04-28,818797.0
520,NTX,SHE,2023-04-29,818797.0
521,MKQ,NAH,2023-04-09,1642330.0
522,ELR,DUM,2023-04-06,1642330.0
523,KLP,SHE,2023-04-07,1642330.0
524,BTO,ONI,2023-04-08,1642330.0
525,SAU,BWX,2023-04-12,1642330.0
526,UGU,KMR,2023-04-13,1642330.0
527,PWL,PPJ,2023-04-10,1642330.0
528,NBX,LII,2023-04-11,1642330.0
529,KXB,TJG,2023-04-16,1655737.0
530,BMU,SKO,2023-04-17,1655737.0
531,SOC,LLN,2023-04-18,1655737.0
532,SOC,PSU,2023-04-19,1655737.0
533,KLP,BIK,2023-04-23,1655737.0
534,BWX,MOA,2023-04-20,1655737.0
535,AAS,OTI,2023-04-21,1655737.0
536,NAM,BXT,2023-04-22,1655737.0
537,TSY,BXT,2023-04-14,1655737.0
538,PDG,HLP,2023-04-15,1655737.0
539,CJN,ZRM,2023-04-30,1655737.0
540,UBR,RTG,2023-04-17,1469280.0
541,DRH,NTI,2023-04-24,1469280.0
542,PKY,LWE,2023-04-03,1469280.0
543,ZEG,KBX,2023-04-21,1469280.0
544,PGK,OKL,2023-04-28,1469280.0
545,KWB,ZRM,2023-04-07,1469280.0
546,KJT,BTH,2023-04-14,1469280.0
547,WET,GEB,2023-04-10,1469280.0
548,BJG,KNG,2023-04-16,1543072.0
549,GYO,TMY,2023-04-18,1543072.0
550,TJG,TLI,2023-04-19,1543072.0
551,ILG,WET,2023-04-23,1543072.0
552,MEQ,JKT,2023-04-25,1543072.0
553,LLO,BTO,2023-04-26,1543072.0
554,SHE,SMQ,2023-04-20,1543072.0
555,WNI,SBG,2023-04-22,1543072.0
556,TNB,KJT,2023-04-09,1543072.0
557,JOG,LUW,2023-04-27,1543072.0
558,TJS,BXW,2023-04-12,1543072.0
559,HLP,SXK,2023-04-13,1543072.0
560,SXK,NDA,2023-04-15,1543072.0
561,CBN,KEI,2023-04-11,1543072.0
562,LBJ,BDJ,2023-04-08,1641100.0
563,BTH,SEQ,2023-04-01,1855150.0
564,UPG,ELR,2023-04-02,1855150.0
565,RPI,DJJ,2023-04-04,1855150.0
566,BNE,BJW,2023-04-05,1855150.0
567,WUB,HLP,2023-04-06,1855150.0
568,AXO,MAL,2023-04-29,1855150.0
569,LYK,KOD,2023-04-30,1855150.0
570,PLW,DUM,2023-04-24,1403560.0
571,PWL,RPI,2023-04-17,1421320.0
572,SNX,PGK,2023-04-18,1421320.0
573,NNX,SEQ,2023-04-02,1421320.0
574,SOC,TNB,2023-04-12,1421320.0
575,BXD,RTU,2023-04-14,1421320.0
576,GHS,AYW,2023-04-15,1421320.0
577,ZRI,RSK,2023-04-10,1421320.0
578,DEX,BJK,2023-04-19,1475710.0
579,MOH,WRR,2023-04-20,1531210.0
580,YIA,TNB,2023-04-16,1567840.0
581,LSW,DJJ,2023-04-07,1567840.0
582,RAQ,RTU,2023-04-21,1585600.0
583,KOE,MAP,2023-04-23,1622230.0
584,LKA,SUB,2023-04-22,1622230.0
585,MSA,TMC,2023-04-01,1695600.0
586,SOC,JIO,2023-04-25,1695600.0
587,UOL,DUM,2023-04-03,1695600.0
588,AEG,ZEG,2023-04-26,1695600.0
589,WRR,YIA,2023-04-04,1695600.0
590,SIW,NTI,2023-04-09,1695600.0
591,SKJ,BTO,2023-04-27,1695600.0
592,SKO,SIQ,2023-04-05,1695600.0
593,MNA,LSW,2023-04-06,1695600.0
594,SRG,MLG,2023-04-28,1695600.0
595,RTU,DEX,2023-04-29,1695600.0
596,TMY,AAP,2023-04-08,1695600.0
597,WMX,BNE,2023-04-13,1695600.0
598,MOH,DUM,2023-04-30,1695600.0
599,MSA,RKI,2023-04-11,1695600.0
600,BTJ,SIQ,2023-04-16,1489000.0
601,SOQ,KDI,2023-04-17,1489000.0
602,TMX,NTI,2023-04-18,1489000.0
603,EWI,TMX,2023-04-19,1489000.0
604,ELR,BPN,2023-04-23,1489000.0
605,CXP,ABY,2023-04-01,1489000.0
606,SBG,SEQ,2023-04-24,1489000.0
607,PSU,RUF,2023-04-02,1489000.0
608,BIK,LSR,2023-04-25,1489000.0
609,SMQ,SIQ,2023-04-03,1489000.0
610,LWE,NAH,2023-04-26,1489000.0
611,LBJ,LHI,2023-04-04,1489000.0
612,AGD,LMU,2023-04-20,1489000.0
613,ZRI,KOE,2023-04-21,1489000.0
614,KLP,LKA,2023-04-22,1489000.0
615,BXG,GAV,2023-04-09,1489000.0
